Date,Open,High,Low,Close,Adj Close,Volume,,
1/2/17,536.91,539.88,531.14,537.46,522.12,3275674,,
1/3/17,539.81,543.35,535.47,539.59,524.19,2969384,,
1/4/17,541.32,541.37,527.15,528.56,513.49,4796129,,
1/5/17,530.47,534.88,529.36,533.64,518.42,4030815,,
1/6/17,532.06,537.41,531.51,532.43,517.24,3620853,,
1/9/17,533.44,537.90,530.47,533.79,518.56,2413173,,
1/10/17,534.93,542.06,534.93,539.81,524.41,5237984,,
1/11/17,542.36,542.71,536.91,537.93,522.58,5296152,,
1/12/17,538.40,540.06,534.83,536.56,521.26,2017673,,
1/13/17,537.18,543.60,537.18,540.08,524.67,3338688,,
1/16/17,539.86,541.84,531.93,533.07,517.86,5544068,,
1/17/17,527.50,528.99,514.37,515.74,501.02,18106600,,
1/18/17,516.40,519.08,509.55,511.43,496.84,7322904,,
1/19/17,512.71,517.74,510.66,512.00,497.39,7053690,,
1/20/17,512.12,513.85,507.14,508.08,493.59,4054233,,
1/23/17,506.10,510.66,501.64,503.18,488.83,6326471,,
1/24/17,503.73,509.57,503.73,508.83,494.31,4347000,,
1/25/17,511.15,511.50,503.30,503.87,489.50,11009842,,
1/27/17,505.33,509.62,504.72,507.74,493.25,10089215,,
1/30/17,507.66,518.31,507.59,517.49,502.73,7235452,,
1/31/17,518.51,521.95,515.27,517.69,502.92,6980274,,
2/1/17,518.14,520.52,512.74,519.90,505.07,5220617,,
2/2/17,520.07,520.47,514.25,516.85,502.11,4199246,,
2/3/17,518.09,520.29,510.21,511.97,497.37,6100788,,
2/6/17,513.63,517.54,511.18,515.93,501.22,4611263,,
2/7/17,516.11,516.28,508.78,510.61,496.04,4571415,,
2/8/17,510.61,514.25,506.20,507.76,493.28,7490523,,
2/9/17,509.17,512.15,508.58,511.53,496.93,4551167,,
2/10/17,512.64,512.91,507.96,510.24,495.68,5777310,,
2/13/17,511.65,512.15,506.20,510.09,495.54,3953095,,
2/14/17,512.64,521.51,510.11,519.97,505.14,8419890,,
2/15/17,521.51,523.79,517.72,520.71,505.86,7031717,,
2/16/17,521.33,529.70,521.33,528.74,513.65,9070869,,
2/17/17,528.24,534.04,524.26,532.70,517.50,6852052,,
2/20/17,530.25,534.36,528.24,532.65,517.46,5376741,,
2/21/17,532.55,540.35,531.49,538.99,523.61,6547056,,
2/22/17,541.37,600.14,540.87,598.08,581.02,58759604,,
2/23/17,601.10,605.26,584.14,585.82,569.11,28728225,,
2/27/17,589.66,622.50,589.59,613.63,596.13,38499330,,
2/28/17,610.22,618.14,608.48,613.21,595.72,16665551,,
3/1/17,614.23,616.36,609.23,611.45,594.01,11253980,,
3/2/17,613.14,621.46,607.76,612.57,595.09,8336344,,
3/3/17,614.95,637.85,614.95,623.37,605.58,38907038,,
3/6/17,628.54,649.84,626.68,646.55,628.10,30793458,,
3/7/17,653.23,657.27,641.99,646.35,627.91,19416016,,
3/8/17,647.71,647.71,637.01,639.54,621.29,20000005,,
3/9/17,638.94,642.91,634.73,637.33,619.15,14350087,,
3/10/17,639.07,641.92,624.68,634.81,616.70,11438543,,
3/14/17,653.18,653.31,636.59,638.70,620.48,12813559,,
3/15/17,639.46,651.97,639.14,646.35,627.91,11125787,,
3/16/17,648.85,649.05,640.73,642.73,624.40,7348934,,
3/17/17,647.86,653.78,642.93,644.24,625.86,10488640,,
3/20/17,646.87,646.99,633.17,634.39,616.29,5939197,,
3/21/17,635.08,635.92,623.74,625.97,608.11,10428134,,
3/22/17,620.12,627.01,617.42,623.94,606.14,9364609,,
3/23/17,625.64,632.78,623.09,630.67,612.68,5449349,,
3/24/17,631.07,639.93,628.27,637.33,619.15,7514381,,
3/27/17,629.58,633.37,617.74,619.68,602.00,14976876,,
3/28/17,623.09,626.07,615.22,617.03,599.42,10017936,,
3/29/17,619.97,624.08,610.88,622.43,604.67,8733582,,
3/30/17,621.61,631.39,620.62,629.36,611.41,12858458,,
3/31/17,627.06,662.54,627.06,654.25,635.58,20947737,,
4/3/17,664.70,683.77,662.25,680.87,661.45,20715169,,
4/5/17,691.05,702.34,683.57,700.86,680.86,18609462,,
4/6/17,697.88,717.65,694.52,712.50,692.17,23361514,,
4/7/17,703.98,710.27,694.69,696.70,676.82,14710432,,
4/10/17,698.38,705.76,682.18,684.19,664.67,14199616,,
4/11/17,687.41,693.65,678.62,679.73,660.34,14883207,,
4/12/17,684.91,686.72,669.23,670.64,651.51,12667376,,
4/13/17,670.64,680.25,667.35,675.99,656.71,5867471,,
4/17/17,676.09,691.22,676.09,689.39,669.72,5463005,,
4/18/17,693.40,698.38,677.08,678.67,659.31,7391572,,
4/19/17,678.07,684.78,672.40,677.97,658.63,5340733,,
4/20/17,683.03,686.89,675.65,678.34,658.99,3873597,,
4/21/17,683.77,703.83,682.80,694.67,674.85,13951559,,
4/24/17,697.91,710.76,693.53,702.05,682.02,11774019,,
4/25/17,723.15,726.98,706.35,709.67,689.43,16966725,,
4/26/17,710.76,713.26,694.71,701.57,681.56,7736192,,
4/27/17,701.85,705.39,694.52,698.13,678.22,5801788,,
4/28/17,698.26,703.48,688.97,691.05,671.34,5468153,,
5/2/17,694.42,694.42,676.74,678.84,659.47,8579933,,
5/3/17,681.99,683.89,676.09,678.62,659.26,4384266,,
5/4/17,681.04,683.32,670.67,672.60,653.41,6629876,,
5/5/17,674.41,677.26,656.28,657.89,639.12,7198681,,
5/8/17,658.76,663.46,652.99,654.50,635.82,7414794,,
5/9/17,655.78,660.56,653.93,658.93,640.13,9740485,,
5/10/17,661.13,675.40,659.08,673.17,653.97,10571126,,
5/11/17,675.65,678.44,669.48,673.39,654.18,6361244,,
5/12/17,673.64,675.60,665.71,668.88,649.80,3472060,,
5/15/17,671.83,671.83,660.49,665.74,646.75,3109625,,
5/16/17,666.71,681.99,664.20,671.78,652.62,5840738,,
5/17/17,670.15,676.56,667.55,670.20,651.08,4543269,,
5/18/17,663.83,668.66,655.83,657.44,638.69,4518258,,
5/19/17,660.24,661.58,648.85,653.23,634.60,5913291,,
5/22/17,657.02,660.54,651.43,655.86,637.15,4061858,,
5/23/17,656.63,658.68,644.89,646.65,628.20,4256413,,
5/24/17,647.61,650.68,641.47,642.76,624.42,6611691,,
5/25/17,643.90,650.04,642.14,645.11,626.71,11963002,,
5/26/17,645.85,665.89,643.90,662.37,643.48,9890146,,
5/29/17,662.22,676.31,661.53,672.08,652.91,11086441,,
5/30/17,671.58,675.94,667.92,673.29,654.09,4457308,,
5/31/17,677.08,677.55,661.63,664.06,645.11,7579368,,
6/1/17,660.09,663.71,655.29,657.89,639.12,4399971,,
6/2/17,661.23,663.06,652.32,656.16,637.44,5304943,,
6/5/17,656.90,664.20,651.75,658.43,639.65,5000365,,
6/6/17,660.71,660.71,649.34,650.24,631.69,4426274,,
6/7/17,649.44,664.70,648.35,663.21,644.29,5168439,,
6/8/17,663.71,666.09,657.79,659.60,640.78,3647290,,
6/9/17,666.23,670.12,659.25,661.58,642.71,6385564,,
6/12/17,657.05,658.63,652.32,653.53,634.89,3891567,,
6/13/17,654.10,657.27,649.34,651.00,632.43,2780692,,
6/14/17,651.77,673.61,651.77,672.38,653.20,24431465,,
6/15/17,673.61,690.95,673.17,685.48,665.92,13056205,,
6/16/17,688.03,691.35,678.22,687.88,668.26,15096065,,
6/19/17,688.57,701.25,688.57,698.01,678.10,7031853,,
6/20/17,697.88,704.37,697.12,699.54,679.59,4680750,,
6/21/17,697.29,707.30,695.53,704.32,684.23,9226522,,
6/22/17,708.01,715.91,707.15,709.60,689.36,10207734,,
6/23/17,711.26,714.23,708.58,711.18,690.90,14372622,,
6/27/17,709.28,714.73,705.81,711.83,691.52,15040990,,
6/28/17,713.21,713.21,691.22,692.68,672.92,7184538,,
6/29/17,693.43,698.38,688.52,689.81,670.13,5952538,,
6/30/17,689.46,689.66,681.07,683.52,664.02,3606284,,
7/3/17,687.58,690.80,679.06,684.04,664.53,4243619,,
7/4/17,688.47,706.85,687.98,704.30,684.21,8683942,,
7/5/17,708.01,716.93,705.31,714.55,694.17,12556953,,
7/6/17,717.55,718.19,712.25,714.50,694.12,6271927,,
7/7/17,714.73,741.84,713.24,738.57,717.50,16542604,,
